Time_slot:30-70, pid:66, arrival-time:30, remaining_time:260
Time_slot:70-110, pid:233, arrival-time:30, remaining_time:160
Time_slot:110-150, pid:66, arrival-time:30, remaining_time:220
Time_slot:150-190, pid:233, arrival-time:30, remaining_time:120
Time_slot:190-250, pid:66, arrival-time:30, remaining_time:160
Time_slot:250-310, pid:233, arrival-time:30, remaining_time:60
Time_slot:310-370, pid:66, arrival-time:30, remaining_time:100
Time_slot:370-430, pid:233, arrival-time:30, remaining_time:0
Time_slot:430-490, pid:66, arrival-time:30, remaining_time:40
Time_slot:490-500, pid:66, arrival-time:30, remaining_time:30
Time_slot:500-530, pid:66, arrival-time:30, remaining_time:0
