Time_slot:10-20, pid:773, arrival-time:10, remaining_time:1650
Time_slot:20-30, pid:773, arrival-time:10, remaining_time:1640
Time_slot:30-50, pid:773, arrival-time:10, remaining_time:1620
Time_slot:50-70, pid:773, arrival-time:10, remaining_time:1600
Time_slot:70-80, pid:1023, arrival-time:60, remaining_time:90
Time_slot:80-90, pid:1023, arrival-time:60, remaining_time:80
Time_slot:90-95, pid:145, arrival-time:90, remaining_time:0
Time_slot:95-105, pid:566, arrival-time:90, remaining_time:310
Time_slot:105-115, pid:566, arrival-time:90, remaining_time:300
Time_slot:115-135, pid:1023, arrival-time:60, remaining_time:60
Time_slot:135-155, pid:566, arrival-time:90, remaining_time:280
Time_slot:155-175, pid:1023, arrival-time:60, remaining_time:40
Time_slot:175-195, pid:566, arrival-time:90, remaining_time:260
Time_slot:195-225, pid:773, arrival-time:10, remaining_time:1570
Time_slot:225-255, pid:1023, arrival-time:60, remaining_time:10
Time_slot:255-285, pid:566, arrival-time:90, remaining_time:230
Time_slot:285-315, pid:773, arrival-time:10, remaining_time:1540
Time_slot:315-325, pid:1023, arrival-time:60, remaining_time:0
Time_slot:325-355, pid:566, arrival-time:90, remaining_time:200
Time_slot:355-395, pid:773, arrival-time:10, remaining_time:1500
Time_slot:395-435, pid:566, arrival-time:90, remaining_time:160
Time_slot:435-475, pid:773, arrival-time:10, remaining_time:1460
Time_slot:475-500, pid:566, arrival-time:90, remaining_time:135
Time_slot:500-510, pid:566, arrival-time:90, remaining_time:125
Time_slot:510-520, pid:773, arrival-time:10, remaining_time:1450
Time_slot:520-530, pid:566, arrival-time:90, remaining_time:115
Time_slot:530-540, pid:773, arrival-time:10, remaining_time:1440
Time_slot:540-560, pid:566, arrival-time:90, remaining_time:95
Time_slot:560-580, pid:773, arrival-time:10, remaining_time:1420
Time_slot:580-600, pid:566, arrival-time:90, remaining_time:75
Time_slot:600-620, pid:773, arrival-time:10, remaining_time:1400
Time_slot:620-650, pid:566, arrival-time:90, remaining_time:45
Time_slot:650-680, pid:773, arrival-time:10, remaining_time:1370
Time_slot:680-710, pid:566, arrival-time:90, remaining_time:15
Time_slot:710-740, pid:773, arrival-time:10, remaining_time:1340
Time_slot:740-755, pid:566, arrival-time:90, remaining_time:0
Time_slot:755-795, pid:773, arrival-time:10, remaining_time:1300
Time_slot:795-835, pid:773, arrival-time:10, remaining_time:1260
Time_slot:835-885, pid:773, arrival-time:10, remaining_time:1210
Time_slot:885-935, pid:773, arrival-time:10, remaining_time:1160
Time_slot:935-995, pid:773, arrival-time:10, remaining_time:1100
Time_slot:995-1000, pid:773, arrival-time:10, remaining_time:1095
Time_slot:1000-1010, pid:773, arrival-time:10, remaining_time:1085
Time_slot:1010-1020, pid:773, arrival-time:10, remaining_time:1075
Time_slot:1020-1040, pid:773, arrival-time:10, remaining_time:1055
Time_slot:1040-1060, pid:773, arrival-time:10, remaining_time:1035
Time_slot:1060-1090, pid:773, arrival-time:10, remaining_time:1005
Time_slot:1090-1120, pid:773, arrival-time:10, remaining_time:975
Time_slot:1120-1160, pid:773, arrival-time:10, remaining_time:935
Time_slot:1160-1200, pid:773, arrival-time:10, remaining_time:895
Time_slot:1200-1250, pid:773, arrival-time:10, remaining_time:845
Time_slot:1250-1300, pid:773, arrival-time:10, remaining_time:795
Time_slot:1300-1360, pid:773, arrival-time:10, remaining_time:735
Time_slot:1360-1420, pid:773, arrival-time:10, remaining_time:675
Time_slot:1420-1480, pid:773, arrival-time:10, remaining_time:615
Time_slot:1480-1500, pid:773, arrival-time:10, remaining_time:595
Time_slot:1500-1510, pid:773, arrival-time:10, remaining_time:585
Time_slot:1510-1520, pid:773, arrival-time:10, remaining_time:575
Time_slot:1520-1540, pid:773, arrival-time:10, remaining_time:555
Time_slot:1540-1560, pid:773, arrival-time:10, remaining_time:535
Time_slot:1560-1590, pid:773, arrival-time:10, remaining_time:505
Time_slot:1590-1620, pid:773, arrival-time:10, remaining_time:475
Time_slot:1620-1660, pid:773, arrival-time:10, remaining_time:435
Time_slot:1660-1700, pid:773, arrival-time:10, remaining_time:395
Time_slot:1700-1750, pid:773, arrival-time:10, remaining_time:345
Time_slot:1750-1800, pid:773, arrival-time:10, remaining_time:295
Time_slot:1800-1860, pid:773, arrival-time:10, remaining_time:235
Time_slot:1860-1920, pid:773, arrival-time:10, remaining_time:175
Time_slot:1920-1980, pid:773, arrival-time:10, remaining_time:115
Time_slot:1980-2000, pid:773, arrival-time:10, remaining_time:95
Time_slot:2000-2010, pid:773, arrival-time:10, remaining_time:85
Time_slot:2010-2020, pid:773, arrival-time:10, remaining_time:75
Time_slot:2020-2040, pid:773, arrival-time:10, remaining_time:55
Time_slot:2040-2060, pid:773, arrival-time:10, remaining_time:35
Time_slot:2060-2090, pid:773, arrival-time:10, remaining_time:5
Time_slot:2090-2095, pid:773, arrival-time:10, remaining_time:0
